name,full_name,publisher,url,level,field,type
,Journal of Cryptology,Springer,http://dblp.uni-trier.de/db/journals/joc/,A,网络与信息安全,journal
TOPS,ACM Transactions on Privacy and Security,ACM,https://dblp.org/db/journals/tissec/index.html,B,网络与信息安全,journal
,Computers & Security,Elsevier,http://dblp.uni-trier.de/db/journals/compsec/,B,网络与信息安全,journal
,"Designs, Codes and Cryptography",Springer,http://dblp.uni-trier.de/db/journals/dcc/,B,网络与信息安全,journal
JCS,Journal of Computer Security,IOS Press,http://dblp.uni-trier.de/db/journals/jcs/,B,网络与信息安全,journal
CLSR,Computer Law & Security Review,Elsevier,https://dblp.org/db/journals/clsr/index.html,C,网络与信息安全,journal
,EURASIP Journal on Information Security,Springer,http://dblp.uni-trier.de/db/journals/ejisec/,C,网络与信息安全,journal
,IET Information Security,IET,http://dblp.uni-trier.de/db/journals/iet-ifs/,C,网络与信息安全,journal
IMCS,Information and Computer Security,Emerald,http://dblp.uni-trier.de/db/journals/imcs/,C,网络与信息安全,journal
IJICS,International Journal of Information and Computer Security,Inderscience,http://dblp.uni-trier.de/db/journals/ijics/,C,网络与信息安全,journal
IJISP,International Journal of Information Security and Privacy,IGI Global,http://dblp.uni-trier.de/db/journals/ijisp/,C,网络与信息安全,journal
JISA,Journal of Information Security and Applications,Elsevier,http://dblp.uni-trier.de/db/journals/istr/,C,网络与信息安全,journal
SCN,Security and Communication Networks,Wiley,http://dblp.uni-trier.de/db/journals/scn/,C,网络与信息安全,journal
,Cybersecurity,Springer,https://dblp.uni-trier.de/db/journals/cybersec/index.html,C,网络与信息安全,journal
CCS,ACM Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/,A,网络与信息安全,conference
EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,Springer,http://dblp.uni-trier.de/db/conf/eurocrypt/,A,网络与信息安全,conference
S&P,IEEE Symposium on Security and Privacy,IEEE,http://dblp.uni-trier.de/db/conf/sp/,A,网络与信息安全,conference
CRYPTO,International Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/crypto/,A,网络与信息安全,conference
USENIX Security,USENIX Security Symposium,USENIX Association,http://dblp.uni-trier.de/db/conf/uss/,A,网络与信息安全,conference
NDSS,Network and Distributed System Security Symposium,ISOC,http://dblp.uni-trier.de/db/conf/ndss/,A,网络与信息安全,conference
ACSAC,Annual Computer Security Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/acsac/,B,网络与信息安全,conference
ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Springer,http://dblp.uni-trier.de/db/conf/asiacrypt/,B,网络与信息安全,conference
ESORICS,European Symposium on Research in Computer Security,Springer,http://dblp.uni-trier.de/db/conf/esorics/,B,网络与信息安全,conference
FSE,Fast Software Encryption,Springer,http://dblp.uni-trier.de/db/conf/fse/,B,网络与信息安全,conference
CSFW,IEEE Computer Security Foundations Workshop,IEEE,http://dblp.uni-trier.de/db/conf/csfw/,B,网络与信息安全,conference
SRDS,IEEE International Symposium on Reliable Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/srds/,B,网络与信息安全,conference
CHES,International Conference on Cryptographic Hardware and Embedded Systems,Springer,http://dblp.uni-trier.de/db/conf/ches/,B,网络与信息安全,conference
DSN,International Conference on Dependable Systems and Networks,IEEE/IFIP,http://dblp.uni-trier.de/db/conf/dsn/,B,网络与信息安全,conference
RAID,International Symposium on Recent Advances in Intrusion Detection,Springer,http://dblp.uni-trier.de/db/conf/raid/,B,网络与信息安全,conference
PKC,International Workshop on Practice and Theory in Public Key Cryptography,Springer,http://dblp.uni-trier.de/db/conf/pkc/,B,网络与信息安全,conference
TCC,Theory of Cryptography Conference,Springer,http://dblp.uni-trier.de/db/conf/tcc/,B,网络与信息安全,conference
WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM,http://dblp.uni-trier.de/db/conf/wisec/,C,网络与信息安全,conference
SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,http://dblp.uni-trier.de/db/conf/sacmat/,C,网络与信息安全,conference
DRM,ACM Workshop on Digital Rights Management,ACM,http://dblp.uni-trier.de/db/conf/drm/,C,网络与信息安全,conference
IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,ACM,http://dblp.uni-trier.de/db/conf/ih/,C,网络与信息安全,conference
ACNS,International Conference on Applied Cryptography and Network Security,Springer,http://dblp.uni-trier.de/db/conf/acns/,C,网络与信息安全,conference
AsiaCCS,ACM Asia Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/,C,网络与信息安全,conference
ACISP,AustralasiaConferenceonInformation SecurityandPrivacy,Springer,http://dblp.uni-trier.de/db/conf/acisp/,C,网络与信息安全,conference
CT-RSA,The Cryptographer's Track at RSA Conference,Springer,http://dblp.uni-trier.de/db/conf/ctrsa/,C,网络与信息安全,conference
DIMVA,Conference on Detection of Intrusions and Malware & VulnerabilityAssessment,,http://dblp.uni-trier.de/db/conf/dimva/,C,网络与信息安全,conference
DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/dfrws/,C,网络与信息安全,conference
FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/fc/,C,网络与信息安全,conference
TrustCom,"IEEE International Conference on Trust,Security and Privacy in Computing and Communications",IEEE,http://dblp.uni-trier.de/db/conf/trustcom/,C,网络与信息安全,conference
SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/,C,网络与信息安全,conference
IFIP WG 11.9,IFIP Working Group 11.9 International Conference on Digital Forensics,Springer,https://dblp.org/db/conf/ifip11-9/index.html,C,网络与信息安全,conference
ISC,Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/isw/,C,网络与信息安全,conference
ICDF2C,International Conference on Digital Forensics & Cyber Crime,Springer,http://dblp.uni-trier.de/db/conf/icdf2c/,C,网络与信息安全,conference
ICICS,International Conference on Information and Communications Security,Springer,http://dblp.uni-trier.de/db/conf/icics/,C,网络与信息安全,conference
SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,http://dblp.uni-trier.de/db/conf/securecomm/,C,网络与信息安全,conference
